league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_possession,position_possession,age_possession,born_possession,90s,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take-ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn/mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success__/_,team_success__/_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_/_,team_success_xg_xg_/_90,team_success_xg_on_off,stat_type_playing_time,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,stat_type_defense,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1/3,ppa,crspa,prgp,stat_type_passing,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg_/_,expected_/90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,stat_type_keeper_adv,nation_shooting,position_shooting,age_shooting,born_shooting,90s_shooting,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg/sh,expected_g_xg,expected_np:g_xg,stat_type_shooting,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc
ESP-La Liga,2023-24,Getafe,Iglesias,ESP,"DF,FW",25.0,1998.0,23,16,1412,15.7,0,2,2,0,0,0,4,0,0.6,0.6,0.7,1.3,16,43,48,0.0,0.13,0.13,0.0,0.13,0.04,0.04,0.08,0.04,0.08,standard,ESP,"DF,FW",25.0,1998.0,15.7,830,60,262,353,223,8,830,14,6,42.9,8,57.1,329,1625,671,16,11,2,10,6,363,48,possession,ESP,"DF,FW",25.0,1998.0,23,1412.0,61.0,41.3,15.7,16,75.0,5,7,29.0,7,1.29,13.0,19.0,-6.0,-0.38,-0.11,16.8,20.7,-4.0,-0.25,-0.07,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"DF,FW",25.0,1998.0,15.7,41,22,25,11,5,21,33,63.6,12,18,7,11,16,57,53,0,defense,ESP,"DF,FW",25.0,1998.0,15.7,382,635,60.2,7413,3284,155,188,82.4,155,236,65.7,61,169,36.1,2,0.7,1.0,1.3,11,41,15,12,43,passing,ESP,"DF,FW",25.0,1998.0,15.7,27,1.72,18,5,1,1,1,1,2,0.13,2,0,0,0,0,0,goal_shot_creation,ESP,"DF,FW",25.0,1998.0,15.7,635,505,123,10,2,10,58,113,0,0,0,0,382,7,15,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"DF,FW",25.0,1998.0,15.7,0,15,6,40.0,0.96,0.38,0.0,0.0,25.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,shooting,ESP,"DF,FW",25.0,1998.0,15.7,4.0,0.0,0.0,16.0,10.0,1.0,58.0,16.0,22.0,0.0,0.0,0.0,71.0,12.0,10.0,54.5,misc
ESP-La Liga,2024-25,Getafe,Iglesias,ESP,DF,26.0,1998.0,37,32,2888,32.1,0,1,1,0,0,0,4,0,1.6,1.6,2.2,3.8,32,84,67,0.0,0.03,0.03,0.0,0.03,0.05,0.07,0.12,0.05,0.12,standard,ESP,DF,26.0,1998.0,32.1,1627,104,471,763,412,15,1627,32,13,40.6,16,50.0,554,2779,1355,32,37,4,36,15,569,67,possession,ESP,DF,26.0,1998.0,37,2888.0,78.0,84.4,32.1,32,85.0,25,5,33.0,1,1.05,28.0,35.0,-7.0,-0.22,-0.56,29.2,40.0,-10.8,-0.34,-0.57,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,26.0,1998.0,32.1,81,47,42,33,6,46,90,51.1,44,47,8,39,50,131,133,1,defense,ESP,DF,26.0,1998.0,32.1,686,1202,57.1,13129,6832,293,385,76.1,301,485,62.1,83,261,31.8,1,2.2,1.8,-1.2,20,84,24,14,84,passing,ESP,DF,26.0,1998.0,32.1,59,1.84,30,16,4,3,5,1,5,0.16,2,1,0,1,0,1,goal_shot_creation,ESP,DF,26.0,1998.0,32.1,1202,843,349,26,0,14,84,323,0,0,0,0,686,10,42,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,26.0,1998.0,32.1,0,21,3,14.3,0.65,0.09,0.0,0.0,25.7,0,0,0,1.6,1.6,0.08,-1.6,-1.6,shooting,ESP,DF,26.0,1998.0,32.1,4.0,0.0,0.0,45.0,41.0,1.0,84.0,50.0,47.0,0.0,0.0,0.0,107.0,35.0,38.0,47.9,misc
ESP-La Liga,2025-26,Getafe,Ismael Bekhoucha,MAR,DF,20-284,2004.0,2,1,91,1.0,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,2,0,0.0,0.99,0.99,0.0,0.99,0.0,0.94,0.94,0.0,0.94,standard,MAR,DF,20-284,2004.0,1.0,30,1,10,14,6,0,30,3,1,33.3,1,33.3,9,52,20,1,0,0,2,2,11,0,possession,MAR,DF,20-284,2004.0,2,91.0,46.0,33.7,1.0,1,90.0,1,1,1.0,1,3.0,2.0,0.0,2.0,1.98,2.98,1.4,0.7,0.7,0.7,0.77,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,MAR,DF,20-284,2004.0,1.0,4,3,2,2,0,3,6,50.0,3,1,0,1,2,6,2,0,defense,MAR,DF,20-284,2004.0,1.0,10,18,55.6,214,130,5,8,62.5,3,5,60.0,2,3,66.7,1,1.0,0.0,0.0,1,2,0,0,2,passing,MAR,DF,20-284,2004.0,1.0,3,2.97,2,0,1,0,0,0,2,1.98,2,0,0,0,0,0,goal_shot_creation,MAR,DF,20-284,2004.0,1.0,18,17,1,0,0,0,2,1,0,0,0,0,10,0,2,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,MAR,DF,20-284,2004.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
ESP-La Liga,2024-25,Getafe,Ismael Bekhoucha,MAR,"MF,DF",19.0,2004.0,5,0,69,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,MAR,"MF,DF",19.0,2004.0,0.8,35,7,14,13,9,0,35,3,2,66.7,1,33.3,16,71,35,1,0,0,2,0,16,1,possession,MAR,"MF,DF",19.0,2004.0,5,69.0,14.0,2.0,0.8,0,0.0,0,5,14.0,6,0.2,0.0,2.0,-2.0,-2.61,-2.53,1.4,0.9,0.5,0.63,0.9,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,MAR,"MF,DF",19.0,2004.0,0.8,1,1,1,0,0,1,2,50.0,1,2,1,1,2,3,2,0,defense,MAR,"MF,DF",19.0,2004.0,0.8,17,24,70.8,224,74,13,14,92.9,4,5,80.0,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,MAR,"MF,DF",19.0,2004.0,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,MAR,"MF,DF",19.0,2004.0,0.8,24,19,4,2,0,0,1,2,0,0,0,0,17,1,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,MAR,"MF,DF",19.0,2004.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,MAR,"MF,DF",19.0,2004.0,0.8,2.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,misc
ESP-La Liga,2023-24,Getafe,Jordi,ESP,"MF,DF",22.0,2001.0,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6,14,28,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28,standard,ESP,"MF,DF",22.0,2001.0,6.4,336,7,50,155,134,14,336,20,7,35.0,10,50.0,180,797,336,6,14,2,12,9,206,28,possession,ESP,"MF,DF",22.0,2001.0,13,573.0,44.0,16.8,6.4,5,69.0,0,8,29.0,11,1.23,11.0,7.0,4.0,0.63,1.13,10.1,8.8,1.3,0.2,0.5,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"MF,DF",22.0,2001.0,6.4,16,11,3,11,2,7,15,46.7,8,7,2,5,8,24,7,0,defense,ESP,"MF,DF",22.0,2001.0,6.4,150,242,62.0,2237,608,89,112,79.5,50,88,56.8,7,21,33.3,0,0.6,0.4,-0.6,7,13,2,1,14,passing,ESP,"MF,DF",22.0,2001.0,6.4,11,1.72,8,0,1,2,0,0,2,0.31,1,0,0,1,0,0,goal_shot_creation,ESP,"MF,DF",22.0,2001.0,6.4,242,233,6,0,1,1,22,6,0,0,0,0,150,3,7,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"MF,DF",22.0,2001.0,6.4,0,7,3,42.9,1.1,0.47,0.0,0.0,12.9,0,0,0,1.3,1.3,0.18,-1.3,-1.3,shooting,ESP,"MF,DF",22.0,2001.0,6.4,1.0,0.0,0.0,19.0,6.0,1.0,22.0,8.0,11.0,0.0,1.0,0.0,36.0,11.0,21.0,34.4,misc
ESP-La Liga,2024-25,Getafe,Juan Bernat,ESP,"MF,DF",31.0,1993.0,14,9,699,7.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,2,14,36,0.0,0.13,0.13,0.0,0.13,0.02,0.09,0.11,0.02,0.11,standard,ESP,"MF,DF",31.0,1993.0,7.8,291,12,62,132,103,15,291,23,12,52.2,11,47.8,148,636,190,2,6,2,17,15,158,36,possession,ESP,"MF,DF",31.0,1993.0,14,699.0,50.0,20.4,7.8,9,67.0,1,5,18.0,1,1.29,8.0,12.0,-4.0,-0.52,-0.48,9.2,12.7,-3.5,-0.45,-0.26,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"MF,DF",31.0,1993.0,7.8,19,13,9,5,5,7,12,58.3,5,9,3,6,2,21,12,0,defense,ESP,"MF,DF",31.0,1993.0,7.8,142,198,71.7,1831,507,93,111,83.8,35,48,72.9,4,9,44.4,1,0.7,0.4,0.3,7,10,7,3,14,passing,ESP,"MF,DF",31.0,1993.0,7.8,10,1.29,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0,goal_shot_creation,ESP,"MF,DF",31.0,1993.0,7.8,198,182,14,0,0,0,13,14,0,0,0,0,142,2,14,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,"MF,DF",31.0,1993.0,7.8,0,4,0,0.0,0.52,0.0,0.0,0.0,22.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,ESP,"MF,DF",31.0,1993.0,7.8,0.0,0.0,0.0,11.0,6.0,1.0,13.0,2.0,13.0,0.0,0.0,0.0,26.0,11.0,13.0,45.8,misc
ESP-La Liga,2024-25,Getafe,Juan Berrocal,ESP,DF,25.0,1999.0,19,11,1063,11.8,0,0,0,0,0,0,8,1,0.4,0.4,0.0,0.4,1,25,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,ESP,DF,25.0,1999.0,11.8,498,51,246,238,16,8,498,0,0,0.0,0,0.0,196,833,390,1,1,0,3,0,201,1,possession,ESP,DF,25.0,1999.0,19,1063.0,56.0,31.1,11.8,11,80.0,6,8,23.0,14,0.95,7.0,12.0,-5.0,-0.42,-0.42,10.5,14.9,-4.4,-0.37,-0.18,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,25.0,1999.0,11.8,14,7,10,4,0,10,14,71.4,4,6,3,3,15,29,59,0,defense,ESP,DF,25.0,1999.0,11.8,287,377,76.1,5950,2289,79,87,90.8,171,203,84.2,33,78,42.3,0,0.0,0.1,0.0,1,21,2,0,25,passing,ESP,DF,25.0,1999.0,11.8,6,0.51,4,1,0,0,0,1,1,0.08,1,0,0,0,0,0,goal_shot_creation,ESP,DF,25.0,1999.0,11.8,377,358,19,17,0,3,0,0,0,0,0,0,287,0,1,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,25.0,1999.0,11.8,0,4,0,0.0,0.34,0.0,0.0,0.0,11.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,shooting,ESP,DF,25.0,1999.0,11.8,8.0,1.0,1.0,17.0,1.0,0.0,0.0,15.0,7.0,0.0,1.0,0.0,35.0,30.0,17.0,63.8,misc
ESP-La Liga,2023-24,Getafe,Nabil Aberdin,FRA,DF,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,DF,20.0,2002.0,2.0,87,4,37,49,1,1,87,0,0,0.0,0,0.0,47,326,183,0,0,0,1,1,54,0,possession,FRA,DF,20.0,2002.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,0.0,3,0.0,1.0,3.0,-2.0,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,20.0,2002.0,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,defense,FRA,DF,20.0,2002.0,2.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,passing,FRA,DF,20.0,2002.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,DF,20.0,2002.0,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,FRA,DF,20.0,2002.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,FRA,DF,20.0,2002.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,40.0,misc
ESP-La Liga,2023-24,Getafe,Omar Alderete,PAR,DF,26.0,1996.0,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,23,98,9,0.0,0.04,0.04,0.0,0.04,0.05,0.04,0.09,0.05,0.09,standard,PAR,DF,26.0,1996.0,24.4,1316,132,591,667,73,32,1316,13,9,69.2,3,23.1,655,4060,2701,23,13,0,8,5,684,9,possession,PAR,DF,26.0,1996.0,31,2195.0,71.0,64.2,24.4,24,84.0,20,7,27.0,3,1.06,26.0,34.0,-8.0,-0.33,-0.03,30.4,34.4,-4.0,-0.16,0.14,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,PAR,DF,26.0,1996.0,24.4,28,21,15,13,0,19,35,54.3,16,30,18,12,13,41,111,0,defense,PAR,DF,26.0,1996.0,24.4,678,1056,64.2,16564,7319,155,199,77.9,351,441,79.6,167,384,43.5,1,1.0,0.8,0.0,13,98,14,1,98,passing,PAR,DF,26.0,1996.0,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0,goal_shot_creation,PAR,DF,26.0,1996.0,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,PAR,DF,26.0,1996.0,24.4,0,24,5,20.8,0.98,0.21,0.0,0.0,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2,shooting,PAR,DF,26.0,1996.0,24.4,8.0,1.0,0.0,34.0,11.0,2.0,5.0,13.0,21.0,0.0,0.0,0.0,107.0,55.0,45.0,55.0,misc
ESP-La Liga,2024-25,Getafe,Omar Alderete,PAR,DF,27.0,1996.0,34,34,2971,33.0,1,0,1,1,0,0,8,0,1.7,1.7,0.9,2.6,25,112,7,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,standard,PAR,DF,27.0,1996.0,33.0,1585,192,681,796,122,39,1585,28,18,64.3,10,35.7,633,4014,2546,25,20,2,30,9,658,7,possession,PAR,DF,27.0,1996.0,34,2971.0,87.0,86.9,33.0,34,87.0,27,0,0.0,0,1.21,32.0,35.0,-3.0,-0.09,0.31,33.5,40.5,-7.0,-0.21,0.26,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,PAR,DF,27.0,1996.0,33.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1,defense,PAR,DF,27.0,1996.0,33.0,724,1106,65.5,16992,7859,191,235,81.3,367,464,79.1,163,366,44.5,0,0.9,0.9,-0.9,11,132,15,2,112,passing,PAR,DF,27.0,1996.0,33.0,37,1.12,28,1,1,5,1,1,4,0.12,2,0,0,1,1,0,goal_shot_creation,PAR,DF,27.0,1996.0,33.0,1106,1026,67,61,3,29,6,0,0,0,0,0,724,13,14,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,PAR,DF,27.0,1996.0,33.0,1,38,10,26.3,1.15,0.3,0.03,0.1,21.9,7,0,0,1.7,1.7,0.04,-0.7,-0.7,shooting,PAR,DF,27.0,1996.0,33.0,8.0,0.0,0.0,33.0,12.0,8.0,6.0,40.0,29.0,1.0,4.0,0.0,115.0,101.0,51.0,66.4,misc
ESP-La Liga,2023-24,Getafe,Stefan Mitrović,SRB,DF,33.0,1990.0,11,9,699,7.8,1,0,1,1,0,0,3,0,0.1,0.1,0.3,0.4,4,19,2,0.13,0.0,0.13,0.13,0.13,0.01,0.04,0.05,0.01,0.05,standard,SRB,DF,33.0,1990.0,7.8,306,39,156,147,5,2,306,4,2,50.0,1,25.0,140,780,457,4,0,0,3,0,142,2,possession,SRB,DF,33.0,1990.0,11,699.0,64.0,20.4,7.8,9,75.0,5,2,11.0,10,1.18,9.0,11.0,-2.0,-0.26,0.07,5.8,9.4,-3.6,-0.46,-0.31,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SRB,DF,33.0,1990.0,7.8,9,3,7,2,0,4,8,50.0,4,3,2,1,6,15,26,0,defense,SRB,DF,33.0,1990.0,7.8,191,251,76.1,4178,1581,57,69,82.6,94,115,81.7,40,66,60.6,0,0.3,0.3,-0.3,2,16,1,0,19,passing,SRB,DF,33.0,1990.0,7.8,4,0.52,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SRB,DF,33.0,1990.0,7.8,251,223,28,24,1,1,0,0,0,0,0,0,191,0,0,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,SRB,DF,33.0,1990.0,7.8,1,1,1,100.0,0.13,0.13,1.0,1.0,8.7,0,0,0,0.1,0.1,0.09,0.9,0.9,shooting,SRB,DF,33.0,1990.0,7.8,3.0,0.0,0.0,13.0,2.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,27.0,11.0,20.0,35.5,misc
ESP-La Liga,2024-25,Girona,Alejandro Francés,ESP,DF,21.0,2002.0,18,13,1173,13.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.6,18,63,21,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,standard,ESP,DF,21.0,2002.0,13.0,969,66,343,503,130,7,969,14,7,50.0,6,42.9,496,2628,1469,18,9,1,8,1,632,21,possession,ESP,DF,21.0,2002.0,18,1173.0,65.0,34.3,13.0,13,80.0,7,5,26.0,18,0.89,13.0,26.0,-13.0,-1.0,-0.88,14.0,19.3,-5.4,-0.41,-0.31,playing_time,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,21.0,2002.0,13.0,36,24,22,13,1,28,40,70.0,12,17,8,9,17,53,52,0,defense,ESP,DF,21.0,2002.0,13.0,685,813,84.3,12756,3792,271,299,90.6,340,363,93.7,70,120,58.3,0,0.3,0.5,-0.3,4,69,6,3,63,passing,ESP,DF,21.0,2002.0,13.0,16,1.23,15,0,0,1,0,0,1,0.08,1,0,0,0,0,0,goal_shot_creation,ESP,DF,21.0,2002.0,13.0,813,695,116,20,1,10,25,96,0,0,0,0,685,2,21,passing_types,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,ESP,DF,21.0,2002.0,13.0,0,6,0,0.0,0.46,0.0,0.0,0.0,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,ESP,DF,21.0,2002.0,13.0,2.0,0.0,0.0,20.0,14.0,1.0,25.0,17.0,24.0,0.0,0.0,0.0,37.0,6.0,13.0,31.6,misc
