league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
ENG-Premier League,2025-26,Aston Villa,Amadou Onana,BEL,MF,24-015,2001,1.7,61,72,84.7,1069,262,23,25,92.0,30,35,85.7,7,10,70.0,0,0.0,0.1,0.0,0,4,0,0,8
ENG-Premier League,2025-26,Aston Villa,Boubacar Kamara,FRA,"MF,DF",25-281,1999,1.2,38,45,84.4,679,299,12,14,85.7,19,22,86.4,5,6,83.3,0,0.0,0.0,0.0,0,8,2,0,14
ENG-Premier League,2025-26,Aston Villa,Donyell Malen,NED,"FW,MF",26-234,1999,0.4,11,12,91.7,146,9,8,9,88.9,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2025-26,Aston Villa,Emi Buendía,ARG,MF,28-249,1996,0.7,10,11,90.9,165,36,5,6,83.3,4,4,100.0,1,1,100.0,0,0.0,0.2,0.0,1,2,1,0,3
ENG-Premier League,2025-26,Aston Villa,Emiliano Martínez,ARG,GK,32-363,1992,1.0,36,38,94.7,807,535,14,14,100.0,14,14,100.0,8,10,80.0,0,0.0,0.0,0.0,0,2,1,0,0
ENG-Premier League,2025-26,Aston Villa,Evann Guessand,CIV,MF,24-061,2001,0.2,6,8,75.0,71,21,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,2
ENG-Premier League,2025-26,Aston Villa,Ezri Konsa,ENG,DF,27-312,1997,0.7,30,33,90.9,526,190,12,12,100.0,17,19,89.5,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,4
ENG-Premier League,2025-26,Aston Villa,Ian Maatsen,NED,DF,23-174,2002,0.3,17,21,81.0,192,70,12,13,92.3,4,6,66.7,0,0,,0,0.1,0.1,-0.1,1,3,1,1,1
ENG-Premier League,2025-26,Aston Villa,John McGinn,SCO,"FW,MF",30-317,1994,1.7,42,58,72.4,733,226,20,23,87.0,15,25,60.0,6,7,85.7,0,0.1,0.2,-0.1,3,3,4,4,4
ENG-Premier League,2025-26,Aston Villa,Lamare Bogarde,NED,MF,21-238,2004,0.2,17,20,85.0,225,86,11,12,91.7,6,7,85.7,0,1,0.0,0,0.0,0.0,0.0,0,2,1,0,1
ENG-Premier League,2025-26,Aston Villa,Lucas Digne,FRA,DF,32-042,1993,1.7,56,83,67.5,955,362,30,34,88.2,22,29,75.9,3,11,27.3,0,0.0,0.2,0.0,0,2,2,1,4
ENG-Premier League,2025-26,Aston Villa,Marco Bizot,NED,GK,34-174,1991,1.0,24,45,53.3,662,447,6,6,100.0,11,11,100.0,7,28,25.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Aston Villa,Matty Cash,POL,DF,28-024,1997,2.0,82,108,75.9,1411,508,39,41,95.1,33,42,78.6,7,19,36.8,0,0.2,0.2,-0.2,2,8,0,0,7
ENG-Premier League,2025-26,Aston Villa,Morgan Rogers,ENG,"FW,MF",23-036,2002,2.0,30,49,61.2,430,174,18,22,81.8,9,15,60.0,2,7,28.6,0,0.3,0.2,-0.3,2,4,1,0,6
ENG-Premier League,2025-26,Aston Villa,Ollie Watkins,ENG,FW,29-244,1995,2.0,25,34,73.5,310,49,17,21,81.0,4,7,57.1,1,1,100.0,0,0.2,0.1,-0.2,2,1,0,0,4
ENG-Premier League,2025-26,Aston Villa,Pau Torres,ESP,DF,28-227,1997,1.0,94,105,89.5,1578,429,52,56,92.9,30,32,93.8,12,17,70.6,0,0.0,0.1,0.0,0,9,0,0,8
ENG-Premier League,2025-26,Aston Villa,Tyrone Mings,ENG,DF,32-171,1993,2.0,112,127,88.2,2063,717,46,49,93.9,53,57,93.0,11,18,61.1,0,0.1,0.0,-0.1,1,8,0,0,7
ENG-Premier League,2025-26,Aston Villa,Youri Tielemans,BEL,MF,28-116,1997,2.0,92,118,78.0,1495,356,47,55,85.5,32,40,80.0,10,16,62.5,0,0.2,0.3,-0.2,3,9,1,0,9
ENG-Premier League,2025-26,Bournemouth,Adam Smith,ENG,DF,34-124,1991,2.3,69,87,79.3,1169,441,35,39,89.7,27,30,90.0,7,16,43.8,0,0.3,0.1,-0.3,1,7,0,0,6
ENG-Premier League,2025-26,Bournemouth,Adrien Truffert,FRA,DF,23-284,2001,3.0,93,125,74.4,1507,520,50,57,87.7,36,50,72.0,7,13,53.8,0,0.5,0.3,-0.5,3,10,6,4,15
ENG-Premier League,2025-26,Bournemouth,Alex Scott,ENG,MF,22-010,2003,2.2,64,82,78.0,862,199,38,41,92.7,19,23,82.6,2,11,18.2,0,0.3,0.2,-0.3,3,3,2,1,3
ENG-Premier League,2025-26,Bournemouth,Amine Adli,MAR,"FW,MF",25-113,2000,0.6,21,27,77.8,316,81,11,12,91.7,8,9,88.9,1,3,33.3,0,0.1,0.0,-0.1,2,1,1,0,1
ENG-Premier League,2025-26,Bournemouth,Antoine Semenyo,GHA,"MF,FW",25-236,2000,3.0,54,86,62.8,886,225,30,37,81.1,19,31,61.3,5,13,38.5,1,0.3,0.2,0.7,5,3,8,0,12
ENG-Premier League,2025-26,Bournemouth,Bafodé Diakité,FRA,DF,24-237,2001,3.0,96,118,81.4,1825,490,31,33,93.9,57,65,87.7,8,17,47.1,0,0.0,0.0,0.0,1,4,0,0,4
ENG-Premier League,2025-26,Bournemouth,Ben Winterburn,ENG,MF,20-361,2004,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,David Brooks,WAL,"MF,FW",28-054,1997,2.3,46,69,66.7,789,374,21,27,77.8,15,21,71.4,7,14,50.0,1,1.4,1.2,-0.4,6,7,4,4,7
ENG-Premier League,2025-26,Bournemouth,Eli Junior Kroupi,FRA,"FW,MF",19-069,2006,0.2,1,3,33.3,15,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,Evanilson,BRA,FW,25-329,1999,2.9,36,45,80.0,462,78,22,25,88.0,13,14,92.9,0,1,0.0,0,0.4,0.1,-0.4,6,1,2,0,5
ENG-Premier League,2025-26,Bournemouth,Hamed Junior Traorè,CIV,MF,25-196,2000,0.2,2,3,66.7,23,18,1,1,100.0,1,2,50.0,0,0,,1,0.2,0.0,0.8,1,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,James Hill,ENG,DF,23-233,2002,0.8,18,33,54.5,299,118,9,10,90.0,8,12,66.7,1,9,11.1,0,0.0,0.0,0.0,0,4,0,0,5
ENG-Premier League,2025-26,Bournemouth,Justin Kluivert,NED,MF,26-118,1999,0.3,10,13,76.9,147,41,4,6,66.7,5,5,100.0,0,0,,0,0.1,0.0,-0.1,1,1,1,0,2
ENG-Premier League,2025-26,Bournemouth,Marcos Senesi,ARG,DF,28-113,1997,3.0,96,130,73.8,2174,1094,25,26,96.2,52,57,91.2,17,42,40.5,1,0.1,0.1,0.9,2,13,4,1,10
ENG-Premier League,2025-26,Bournemouth,Marcus Tavernier,ENG,MF,26-162,1999,2.7,72,99,72.7,1226,336,33,39,84.6,28,35,80.0,7,18,38.9,0,0.2,0.3,-0.2,2,8,4,0,12
ENG-Premier League,2025-26,Bournemouth,Ryan Christie,SCO,MF,30-190,1995,0.6,24,34,70.6,473,105,9,11,81.8,12,16,75.0,3,3,100.0,0,0.0,0.0,0.0,1,5,1,0,5
ENG-Premier League,2025-26,Bournemouth,Tyler Adams,USA,MF,26-198,1999,3.0,93,116,80.2,1727,383,35,38,92.1,50,55,90.9,8,13,61.5,0,0.0,0.1,0.0,0,10,0,0,8
ENG-Premier League,2025-26,Bournemouth,Đorđe Petrović,SRB,GK,25-327,1999,3.0,60,98,61.2,1955,1409,5,5,100.0,27,27,100.0,28,64,43.8,0,0.0,0.0,0.0,0,3,0,0,0
ENG-Premier League,2025-26,Brentford,Aaron Hickey,SCO,"DF,FW",23-082,2002,0.2,3,6,50.0,42,20,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Brentford,Antoni Milambo,NED,MF,20-150,2005,0.5,8,11,72.7,116,49,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3
ENG-Premier League,2025-26,Brentford,Caoimhín Kelleher,IRL,GK,26-281,1998,3.0,75,111,67.6,2452,2038,11,11,100.0,30,32,93.8,34,68,50.0,0,0.0,0.0,0.0,0,6,0,0,1
ENG-Premier League,2025-26,Brentford,Dango Ouattara,BFA,FW,23-201,2002,1.9,9,24,37.5,126,53,6,8,75.0,2,5,40.0,1,8,12.5,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Brentford,Fabio Carvalho,POR,"FW,MF",23-001,2002,1.0,14,19,73.7,194,44,8,11,72.7,3,3,100.0,2,4,50.0,0,0.0,0.0,0.0,0,0,1,0,2
ENG-Premier League,2025-26,Brentford,Frank Onyeka,NGA,MF,27-242,1998,0.7,17,23,73.9,240,106,11,13,84.6,5,7,71.4,1,2,50.0,1,0.1,0.4,0.9,1,3,0,0,1
ENG-Premier League,2025-26,Brentford,Jordan Henderson,ENG,MF,35-075,1990,1.8,55,78,70.5,974,268,26,30,86.7,19,28,67.9,5,14,35.7,0,0.0,0.0,0.0,0,6,0,0,6
ENG-Premier League,2025-26,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-190,2001,2.5,39,56,69.6,644,227,20,21,95.2,14,21,66.7,4,11,36.4,0,0.0,0.0,0.0,0,1,0,0,3
ENG-Premier League,2025-26,Brentford,Kevin Schade,GER,FW,23-277,2001,2.4,23,40,57.5,404,126,13,20,65.0,6,10,60.0,3,6,50.0,0,0.1,0.1,-0.1,1,1,0,0,0
ENG-Premier League,2025-26,Brentford,Kristoffer Ajer,NOR,DF,27-136,1998,0.1,2,2,100.0,28,17,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2025-26,Brentford,Mathias Jensen,DEN,MF,29-242,1996,0.9,27,34,79.4,499,209,16,17,94.1,7,9,77.8,4,7,57.1,0,0.1,0.0,-0.1,2,4,1,0,5
ENG-Premier League,2025-26,Brentford,Michael Kayode,ITA,DF,21-052,2004,2.9,77,103,74.8,1298,340,37,43,86.0,30,40,75.0,8,18,44.4,0,0.2,0.1,-0.2,2,4,1,0,6
ENG-Premier League,2025-26,Brentford,Mikkel Damsgaard,DEN,MF,25-059,2000,2.0,47,66,71.2,848,396,18,22,81.8,19,22,86.4,7,15,46.7,0,0.4,0.5,-0.4,5,6,4,3,8
ENG-Premier League,2025-26,Brentford,Nathan Collins,IRL,DF,24-123,2001,3.0,95,107,88.8,1990,747,23,24,95.8,59,60,98.3,13,21,61.9,0,0.0,0.0,0.0,0,5,1,0,6
ENG-Premier League,2025-26,Brentford,Rico Henry,ENG,DF,28-054,1997,1.3,24,49,49.0,366,118,13,19,68.4,10,21,47.6,1,6,16.7,0,0.1,0.1,-0.1,1,0,1,0,1
ENG-Premier League,2025-26,Brentford,Sepp van den Berg,NED,DF,23-254,2001,3.0,107,122,87.7,1971,723,37,41,90.2,57,63,90.5,12,15,80.0,0,0.0,0.0,0.0,0,6,0,0,8
ENG-Premier League,2025-26,Brentford,Thiago,BRA,FW,24-066,2001,3.0,32,39,82.1,435,82,20,21,95.2,8,12,66.7,2,2,100.0,0,0.8,0.1,-0.8,3,1,2,1,2
ENG-Premier League,2025-26,Brentford,Yehor Yarmoliuk,UKR,MF,21-183,2004,2.9,69,82,84.1,1197,336,31,34,91.2,30,31,96.8,6,13,46.2,0,0.0,0.0,0.0,1,7,1,1,5
ENG-Premier League,2025-26,Brighton,Bart Verbruggen,NED,GK,23-013,2002,2.0,63,85,74.1,1340,810,19,19,100.0,36,37,97.3,8,28,28.6,0,0.1,0.0,-0.1,1,1,0,0,0
ENG-Premier League,2025-26,Brighton,Brajan Gruda,GER,"FW,DF",21-092,2004,0.2,3,4,75.0,38,21,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Brighton,Carlos Baleba,CMR,MF,21-240,2004,1.3,31,37,83.8,553,78,15,16,93.8,9,10,90.0,5,7,71.4,0,0.0,0.0,0.0,2,2,0,0,2
ENG-Premier League,2025-26,Brighton,Danny Welbeck,ENG,FW,34-278,1990,1.2,14,21,66.7,133,10,9,13,69.2,3,4,75.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Brighton,Diego Gómez,PAR,MF,22-157,2003,0.5,19,25,76.0,240,76,12,13,92.3,6,8,75.0,0,2,0.0,0,0.3,0.0,-0.3,1,5,1,0,3
ENG-Premier League,2025-26,Brighton,Ferdi Kadioglu,TUR,"DF,FW",25-328,1999,0.5,20,24,83.3,270,56,10,12,83.3,9,10,90.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2025-26,Brighton,Georginio Rutter,FRA,FW,23-133,2002,0.8,2,4,50.0,34,13,1,1,100.0,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2025-26,Brighton,Jack Hinshelwood,ENG,MF,20-142,2005,0.5,29,34,85.3,486,122,15,18,83.3,11,11,100.0,2,4,50.0,0,0.0,0.0,0.0,0,2,1,0,2
ENG-Premier League,2025-26,Brighton,James Milner,ENG,MF,39-239,1986,0.0,1,1,100.0,25,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Brighton,Jan Paul van Hecke,NED,DF,25-084,2000,2.0,150,169,88.8,3112,1317,50,55,90.9,79,86,91.9,19,26,73.1,0,0.0,0.1,0.0,0,17,1,0,14
ENG-Premier League,2025-26,Brighton,Kaoru Mitoma,JPN,FW,28-103,1997,1.9,48,53,90.6,617,198,33,35,94.3,12,14,85.7,2,2,100.0,0,0.1,0.1,-0.1,3,2,3,2,5
ENG-Premier League,2025-26,Brighton,Lewis Dunk,ENG,DF,33-283,1991,2.0,178,192,92.7,3134,795,69,69,100.0,94,99,94.9,10,16,62.5,0,0.0,0.0,0.0,0,4,0,0,6
ENG-Premier League,2025-26,Brighton,Mats Wieffer,NED,DF,25-288,1999,1.9,75,94,79.8,1268,499,39,41,95.1,28,36,77.8,6,9,66.7,0,0.0,0.0,0.0,0,6,2,0,11
ENG-Premier League,2025-26,Brighton,Matt O'Riley,DEN,MF,24-283,2000,2.0,51,61,83.6,762,174,29,32,90.6,13,15,86.7,5,7,71.4,0,0.2,0.2,-0.2,4,5,1,1,5
ENG-Premier League,2025-26,Brighton,Maxim De Cuyper,BEL,DF,24-252,2000,1.7,64,71,90.1,1132,310,26,28,92.9,34,36,94.4,4,7,57.1,0,0.1,0.1,-0.1,2,5,2,1,8
ENG-Premier League,2025-26,Brighton,Yankuba Minteh,GAM,FW,21-040,2004,1.8,28,48,58.3,343,98,18,25,72.0,3,8,37.5,2,5,40.0,0,0.9,0.6,-0.9,4,2,0,0,1
ENG-Premier League,2025-26,Brighton,Yasin Ayari,SWE,MF,21-329,2003,1.7,61,74,82.4,1045,193,28,29,96.6,27,33,81.8,4,8,50.0,0,0.0,0.1,0.0,0,4,2,0,9
ENG-Premier League,2025-26,Burnley,Hannibal Mejbri,TUN,MF,22-222,2003,2.3,38,50,76.0,603,135,18,23,78.3,13,17,76.5,4,6,66.7,0,0.2,0.1,-0.2,1,2,2,1,5
ENG-Premier League,2025-26,Burnley,Hjalmar Ekdal,SWE,DF,26-314,1998,2.9,89,102,87.3,1520,469,36,37,97.3,48,53,90.6,5,8,62.5,0,0.0,0.0,0.0,1,2,0,0,5
ENG-Premier League,2025-26,Burnley,Jacob Bruun Larsen,DEN,"FW,MF",26-346,1998,2.0,36,47,76.6,467,114,25,29,86.2,10,13,76.9,0,3,0.0,1,0.6,0.3,0.4,2,1,1,1,4
ENG-Premier League,2025-26,Burnley,Jaidon Anthony,ENG,"FW,MF",25-273,1999,2.9,54,75,72.0,739,177,35,46,76.1,16,18,88.9,1,3,33.3,1,0.2,0.4,0.8,3,3,4,1,8
ENG-Premier League,2025-26,Burnley,Joe Worrall,ENG,DF,28-233,1997,0.2,1,1,100.0,26,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Burnley,Josh Cullen,IRL,MF,29-146,1996,3.0,115,151,76.2,1941,653,61,67,91.0,35,50,70.0,15,25,60.0,1,0.7,0.5,0.3,6,18,0,0,12
ENG-Premier League,2025-26,Burnley,Josh Laurent,ENG,MF,30-117,1995,1.1,15,28,53.6,219,68,7,10,70.0,8,14,57.1,0,2,0.0,0,0.2,0.1,-0.2,1,2,1,0,5
ENG-Premier League,2025-26,Burnley,Kyle Walker,ENG,DF,35-095,1990,3.0,106,141,75.2,1965,827,55,56,98.2,35,47,74.5,16,33,48.5,0,0.0,0.1,0.0,0,6,1,0,5
ENG-Premier League,2025-26,Burnley,Lesley Ugochukwu,FRA,MF,21-158,2004,1.9,59,67,88.1,941,217,28,29,96.6,24,28,85.7,5,5,100.0,0,0.0,0.0,0.0,1,4,0,0,6
ENG-Premier League,2025-26,Burnley,Loum Tchaouna,FRA,"MF,FW",21-357,2003,0.6,15,22,68.2,178,70,10,12,83.3,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,2,1,2
ENG-Premier League,2025-26,Burnley,Lyle Foster,RSA,FW,24-362,2000,2.8,39,57,68.4,521,76,19,24,79.2,11,17,64.7,3,3,100.0,0,0.4,0.1,-0.4,2,3,0,0,3
ENG-Premier League,2025-26,Burnley,Marcus Edwards,ENG,FW,26-271,1998,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2025-26,Burnley,Martin Dúbravka,SVK,GK,36-228,1989,3.0,57,114,50.0,1800,1346,10,10,100.0,26,26,100.0,21,77,27.3,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2025-26,Burnley,Maxime Estève,FRA,DF,23-097,2002,2.9,90,103,87.4,1600,615,39,43,90.7,44,47,93.6,5,10,50.0,0,0.0,0.0,0.0,0,8,0,0,11
ENG-Premier League,2025-26,Burnley,Oliver Sonne,PER,"DF,FW",24-294,2000,1.2,19,29,65.5,247,88,14,17,82.4,3,7,42.9,1,3,33.3,0,0.0,0.1,0.0,1,1,2,1,4
ENG-Premier League,2025-26,Burnley,Quilindschy Hartman,NED,DF,23-290,2001,3.0,68,101,67.3,1074,509,35,39,89.7,28,38,73.7,3,17,17.6,0,0.0,0.1,0.0,1,5,1,0,7
ENG-Premier League,2025-26,Burnley,Zian Flemming,NED,FW,27-030,1998,0.2,1,4,25.0,14,14,1,2,50.0,0,0,,0,1,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
ENG-Premier League,2025-26,Chelsea,Andrey Santos,BRA,MF,21-120,2004,0.6,20,25,80.0,278,74,12,12,100.0,7,9,77.8,0,1,0.0,0,0.1,0.0,-0.1,2,2,0,0,3
ENG-Premier League,2025-26,Chelsea,Cole Palmer,ENG,MF,23-117,2002,1.0,26,37,70.3,398,81,13,16,81.3,11,15,73.3,2,3,66.7,0,0.0,0.0,0.0,1,3,0,0,5
ENG-Premier League,2025-26,Chelsea,Enzo Fernández,ARG,MF,24-226,2001,2.9,127,158,80.4,2021,411,68,77,88.3,51,61,83.6,7,15,46.7,1,0.7,0.4,0.3,4,8,3,0,11
ENG-Premier League,2025-26,Chelsea,Estêvão Willian,BRA,FW,18-129,2007,2.0,54,66,81.8,843,85,29,36,80.6,23,25,92.0,1,2,50.0,1,0.9,1.0,0.1,2,3,1,0,3
ENG-Premier League,2025-26,Chelsea,Jamie Gittens,ENG,FW,21-023,2004,1.0,21,22,95.5,331,28,12,12,100.0,8,8,100.0,1,1,100.0,0,0.1,0.1,-0.1,2,0,1,0,1
ENG-Premier League,2025-26,Chelsea,Jorrel Hato,NED,DF,19-177,2006,0.2,13,13,100.0,226,26,4,4,100.0,8,8,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2
ENG-Premier League,2025-26,Chelsea,Joshua Acheampong,ENG,DF,19-118,2006,1.0,87,93,93.5,1412,277,40,41,97.6,46,48,95.8,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,3
ENG-Premier League,2025-26,Chelsea,João Pedro,BRA,"MF,FW",23-339,2001,2.8,57,68,83.8,764,130,41,45,91.1,11,15,73.3,3,3,100.0,2,1.0,0.2,1.0,3,3,2,0,7
ENG-Premier League,2025-26,Chelsea,Liam Delap,ENG,FW,22-204,2003,1.0,9,15,60.0,137,38,4,7,57.1,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,1,1,0,3
ENG-Premier League,2025-26,Chelsea,Malo Gusto,FRA,DF,22-104,2003,1.9,104,114,91.2,1676,441,56,61,91.8,41,43,95.3,6,9,66.7,0,0.0,0.1,0.0,1,11,1,0,12
ENG-Premier League,2025-26,Chelsea,Marc Cucurella,ESP,DF,27-040,1998,2.8,185,204,90.7,3214,1052,81,83,97.6,91,98,92.9,12,19,63.2,1,0.7,0.5,0.3,4,17,3,0,16
ENG-Premier League,2025-26,Chelsea,Moisés Caicedo,ECU,MF,23-302,2001,3.0,179,196,91.3,2990,925,89,90,98.9,84,92,91.3,6,12,50.0,0,0.0,0.1,0.0,0,27,0,0,20
ENG-Premier League,2025-26,Chelsea,Pedro Neto,POR,FW,25-175,2000,2.9,82,118,69.5,1276,409,46,57,80.7,30,41,73.2,4,14,28.6,0,0.5,0.7,-0.5,5,2,5,1,11
ENG-Premier League,2025-26,Chelsea,Reece James,ENG,DF,25-266,1999,1.2,107,119,89.9,1961,667,53,54,98.1,39,43,90.7,15,21,71.4,0,0.5,0.3,-0.5,4,13,1,0,10
ENG-Premier League,2025-26,Chelsea,Robert Sánchez,ESP,GK,27-286,1997,3.0,76,110,69.1,2002,1374,12,12,100.0,42,43,97.7,19,52,36.5,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2025-26,Chelsea,Tosin Adarabioyo,ENG,DF,27-341,1997,2.0,165,179,92.2,2986,1009,55,57,96.5,102,107,95.3,8,14,57.1,0,0.0,0.0,0.0,0,9,0,0,6
ENG-Premier League,2025-26,Chelsea,Trevoh Chalobah,ENG,DF,26-057,1999,2.8,187,210,89.0,3554,820,55,62,88.7,121,124,97.6,11,22,50.0,0,0.0,0.2,0.0,0,18,3,1,13
ENG-Premier League,2025-26,Chelsea,Tyrique George,ENG,FW,19-208,2006,0.7,6,6,100.0,82,7,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2025-26,Chelsea,Wesley Fofana,FRA,DF,24-257,2000,0.2,11,11,100.0,175,54,5,5,100.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
